Filename,BRISQUE Score
diastole1732.png,-3.24
diastole1733.png,5.35
diastole1734.png,-1.71
diastole1736.png,10.1
diastole1735.png,9.97
diastole1737.png,8.7
diastole1738.png,19.53
diastole174.png,6.5
diastole1739.png,5.93
diastole1740.png,-13.55
diastole1741.png,-0.61
diastole1742.png,-4.21
diastole1743.png,9.59
diastole1744.png,12.6
diastole1745.png,5.55
diastole1746.png,9.53
diastole1747.png,-6.01
diastole1749.png,1.83
diastole1748.png,18.53
diastole175.png,11.76
diastole1750.png,14.27
diastole1751.png,6.36
diastole1752.png,-12.4
diastole1753.png,7.23
diastole1754.png,-11.78
diastole1755.png,-11.3
diastole1756.png,19.22
diastole1757.png,17.82
diastole1758.png,1.24
diastole1759.png,2.99
diastole176.png,14.57
diastole1760.png,12.12
diastole1761.png,3.05
diastole1762.png,6.82
diastole1763.png,1.48
diastole1764.png,15.98
diastole1765.png,2.73
diastole1766.png,12.35
diastole1767.png,25.29
diastole1768.png,9.61
diastole1769.png,5.91
diastole177.png,6.35
diastole1770.png,1.73
diastole1771.png,2.07
diastole1772.png,12.18
diastole1773.png,17.98
diastole1774.png,21.06
diastole1775.png,8.63
diastole1776.png,16.09
diastole1778.png,3.55
diastole1777.png,-1.41
diastole1779.png,-10.73
diastole1780.png,7.22
diastole178.png,17.39
diastole1781.png,4.24
diastole1782.png,10.72
diastole1783.png,-4.1
diastole1784.png,-0.32
diastole1785.png,0.85
diastole1786.png,5.43
diastole1787.png,37.6
diastole1788.png,13.08
diastole1789.png,-4.13
diastole179.png,27.54
diastole1790.png,6.66
diastole1792.png,5.41
diastole1791.png,-12.13
diastole1793.png,14.26
diastole1794.png,14.02
diastole1795.png,15.88
diastole1796.png,27.26
diastole1797.png,9.62
diastole1798.png,16.89
diastole1799.png,11.12
diastole18.png,-16.11
diastole1800.png,-5.39
diastole180.png,15.19
diastole1801.png,7.47
diastole1802.png,2.31
diastole1803.png,6.67
diastole1804.png,5.91
diastole1806.png,-21.92
diastole1805.png,15.58
diastole1807.png,-1.63
diastole1808.png,27.92
diastole181.png,11.53
diastole1809.png,4.89
diastole1810.png,5.72
diastole1811.png,2.66
diastole1813.png,-3.94
diastole1812.png,4.51
diastole1814.png,17.72
diastole1815.png,13.29
diastole1816.png,19.57
diastole1817.png,11.42
diastole1818.png,10.54
diastole1819.png,14.18
diastole182.png,2.43
diastole1820.png,18.49
diastole1821.png,-4.49
diastole1822.png,25.8
diastole1823.png,-4.35
diastole1824.png,0.01
diastole1825.png,3.66
diastole1826.png,3.71
diastole1828.png,3.67
diastole1827.png,23.67
diastole183.png,-10.37
diastole1829.png,18.06
diastole1830.png,10.49
diastole1831.png,14.92
diastole1832.png,-2.12
diastole1833.png,11.03
diastole1834.png,7.24
diastole1835.png,2.32
diastole1836.png,11.69
diastole1837.png,-2.51
diastole1838.png,-1.58
diastole1839.png,-2.52
diastole184.png,6.42
diastole1840.png,8.98
diastole1841.png,-4.9
diastole1842.png,6.06
diastole1843.png,-5.39
diastole1844.png,5.56
diastole1845.png,9.26
diastole1846.png,6.55
diastole1847.png,16.5
diastole1848.png,0.8
diastole1849.png,11.8
diastole185.png,12.23
diastole1850.png,18.7
diastole1851.png,3.3
diastole1852.png,-18.1
diastole1853.png,-10.79
diastole1854.png,10.95
diastole1855.png,6.72
diastole1856.png,11.51
diastole1857.png,13.23
diastole1858.png,17.54
diastole1859.png,17.43
diastole186.png,-3.19
diastole1861.png,11.3
diastole1860.png,35.02
diastole1862.png,-10.94
diastole1863.png,-6.73
diastole1864.png,23.06
diastole1865.png,23.21
diastole1866.png,16.93
diastole1867.png,16.81
diastole1868.png,9.23
diastole1869.png,12.17
diastole187.png,8.35
diastole1870.png,-2.39
diastole1871.png,24.34
diastole1872.png,15.01
diastole1873.png,4.05
diastole1874.png,4.5
diastole1875.png,15.47
diastole1876.png,10.13
diastole1877.png,15.05
diastole1878.png,13.34
diastole1879.png,3.55
diastole188.png,-7.99
diastole1880.png,12.85
diastole1881.png,-2.57
diastole1882.png,3.55
diastole1883.png,-24.78
diastole1884.png,-0.71
diastole1885.png,11.38
diastole1886.png,16.58
diastole1887.png,0.51
diastole1888.png,8.36
diastole1889.png,21.16
diastole189.png,5.05
diastole1890.png,9.9
diastole1891.png,3.31
diastole1892.png,5.39
diastole1893.png,17.83
diastole1894.png,6.48
diastole1895.png,-7.02
diastole1896.png,-7.07
diastole1897.png,17.38
diastole1898.png,16.16
diastole1899.png,8.72
diastole19.png,17.13
diastole190.png,-2.36
diastole1900.png,6.79
diastole1901.png,13.29
diastole1902.png,-18.6
diastole1903.png,8.54
diastole1904.png,-2.27
diastole1905.png,13.25
diastole1906.png,5.25
diastole1907.png,10.69
diastole1908.png,5.36
diastole191.png,14.1
diastole1909.png,-14.6
diastole1910.png,6.39
diastole1911.png,6.55
diastole1913.png,-10.56
diastole1912.png,6.79
diastole1914.png,0.64
diastole1915.png,6.16
diastole1916.png,7.26
diastole1917.png,-13.78
diastole1918.png,-6.62
diastole1919.png,-1.34
diastole192.png,-17.92
diastole1920.png,20.75
diastole1921.png,5.95
diastole1922.png,-1.81
diastole1923.png,-7.61
diastole1924.png,23.79
diastole1925.png,11.15
diastole1926.png,11.64
diastole1927.png,2.29
diastole1928.png,21.36
diastole1929.png,14.94
diastole193.png,8.58
diastole1930.png,18.93
diastole1931.png,6.57
diastole1932.png,1.02
diastole1933.png,10.68
diastole1934.png,-11.14
diastole1935.png,8.58
